,brand,variant,kilometers,fuel,numbeer of owners,location,Sale Price
47,2020 Maruti Swift LXI MANUAL,DL-1C,"18,235 km",Petrol,1st Owner,New_Delhi,"₹5,89,199
₹5,83,299"
48,2011 Maruti Wagon R 1.0 VXI MANUAL,DL-1C,"37,831 km",Petrol,2nd Owner,New_Delhi,"₹2,49,299
₹2,26,199"
49,2021 Tata ALTROZ XM+ 1.2 RTN,HR-11,"7,904 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹7,20,176"
50,2021 Maruti Swift LXI MANUAL,UP-14,"4,741 km",Petrol,1st Owner,New_Delhi,"₹6,27,999
₹6,08,999"
51,2015 Maruti Alto 800 LXI MANUAL,DL-2C,"30,144 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,84,899"
52,2010 Maruti Wagon R 1.0 VXI MANUAL,DL-3C,"33,383 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,32,099"
53,2013 Jaguar XF 2.2 DIESEL AUTOMATIC,DL-6C,"28,289 km",Diesel,2nd Owner,New_Delhi,"₹15,49,999
₹15,05,999"
54,2022 Renault Kiger RXZ CVT 1.0 TURBO,UP-16,"2,404 km",Petrol,1st Owner,New_Delhi,"₹11,75,299
₹11,13,899"
55,2012 Maruti Wagon R 1.0 LXI MANUAL,HR-26,"44,943 km",Petrol,2nd Owner,New_Delhi,"₹2,41,199
₹2,14,999"
56,2021 Maruti Celerio VXI MANUAL,DL-10,"11,828 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,14,699"
57,2022 Hyundai VENUE S Plus MT 1.2 Kappa MANUAL,UP-14,"9,463 km",Petrol,1st Owner,New_Delhi,"₹10,38,299
₹9,68,199"
58,2014 Maruti Alto K10 LXI MANUAL,UP-21,"57,971 km",Petrol,1st Owner,New_Delhi,"₹2,66,199
₹2,59,599"
59,2018 Datsun Redi Go A MANUAL,HR-26,"33,552 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,78,499"
60,2011 Maruti Alto K10 VXI MANUAL,HR-26,"30,834 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹2,29,599"
61,2018 Maruti Baleno DELTA 1.2 K12 MANUAL,HR-29,"26,759 km",Petrol,1st Owner,New_Delhi,"₹6,08,699
₹5,59,699"
62,2012 Maruti Alto K10 VXI MANUAL,DL-9C,"18,392 km",Petrol,1st Owner,New_Delhi,"₹2,52,599
₹2,45,899"
63,2019 Maruti New Wagon-R LXI 1.0 L MANUAL,DL-12,"3,579 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,07,099"
64,2020 Tata Tiago XE 1.2 REVOTRON MANUAL,DL-9C,"20,212 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹4,64,699"
65,2018 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,DL-2C,"22,972 km",Petrol,2nd Owner,New_Delhi,"₹5,05,999
₹4,73,899"
66,2013 Maruti Wagon R 1.0 LXI MANUAL,DL-9C,"75,012 km",Petrol + CNG,1st Owner,New_Delhi,"Fixed Price
₹2,46,999"
67,2020 Maruti Swift VXI AMT AUTOMATIC,DL-12,"21,463 km",Petrol,2nd Owner,New_Delhi,"₹6,71,199
₹6,52,799"
68,2020 Maruti Baleno SIGMA 1.2 K12 MANUAL,HR-98,"10,956 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹6,03,599"
69,2019 Maruti Swift LXI MANUAL,HR-51,"38,244 km",Petrol,1st Owner,New_Delhi,"₹5,45,799
₹5,40,699"
